(515.625 421.875), (525 431.25)
(506.25 412.5), (515.625 421.875)
(515.625 412.5), (525 421.875)
(506.25 421.875), (515.625 431.25)
(506.25 431.25), (525 450)
(525 421.875), (534.375 431.25)
(525 431.25), (543.75 450)
