(159.375 300), (168.75 309.375)
(150 290.625), (159.375 300)
(159.375 290.625), (168.75 300)
(150 300), (159.375 309.375)
(159.375 309.375), (168.75 318.75)
(168.75 300), (187.5 318.75)
