(384.375 178.125), (393.75 187.5)
(375 168.75), (384.375 178.125)
(384.375 168.75), (393.75 178.125)
(375 178.125), (384.375 187.5)
(393.75 178.125), (403.125 187.5)
(384.375 187.5), (393.75 196.875)
(393.75 187.5), (403.125 196.875)
