(225 131.25), (234.375 140.625)
(206.25 112.5), (225 131.25)
(215.625 131.25), (225 140.625)
(225 112.5), (243.75 131.25)
(234.375 131.25), (243.75 140.625)
(225 140.625), (234.375 150)
(234.375 140.625), (243.75 150)
