(131.25 9.375), (140.625 18.75)
(121.875 0), (131.25 9.375)
(121.875 9.375), (131.25 18.75)
(131.25 0), (140.625 9.375)
(140.625 9.375), (150 18.75)
(131.25 18.75), (150 37.5)
