(37.5 187.5), (75 225)
(18.75 168.75), (37.5 187.5)
(37.5 150), (75 187.5)
(18.75 187.5), (37.5 206.25)
(18.75 206.25), (37.5 225)
(75 150), (150 225)
(37.5 225), (75 262.5)
(75 225), (112.5 262.5)
