(112.5 450), (131.25 468.75)
(75 412.5), (112.5 450)
(112.5 431.25), (131.25 450)
(75 450), (112.5 487.5)
(131.25 450), (140.625 459.375)
(131.25 459.375), (140.625 468.75)
(112.5 468.75), (131.25 487.5)
(131.25 468.75), (140.625 478.125)
