(337.5 450), (356.25 468.75)
(300 412.5), (337.5 450)
(337.5 431.25), (356.25 450)
(300 450), (337.5 487.5)
(356.25 450), (365.625 459.375)
(356.25 459.375), (365.625 468.75)
(337.5 468.75), (356.25 487.5)
(356.25 468.75), (365.625 478.125)
