(525 75), (562.5 112.5)
(487.5 37.5), (525 75)
(525 37.5), (562.5 75)
(450 75), (525 150)
(562.5 75), (581.25 93.75)
(562.5 93.75), (581.25 112.5)
(525 112.5), (562.5 150)
(562.5 112.5), (581.25 131.25)
