(553.125 9.375), (562.5 18.75)
(543.75 0), (553.125 9.375)
(553.125 0), (562.5 9.375)
(543.75 9.375), (553.125 18.75)
(543.75 18.75), (562.5 37.5)
(562.5 9.375), (571.875 18.75)
(562.5 18.75), (581.25 37.5)
