(393.75 262.5), (412.5 281.25)
(375 243.75), (393.75 262.5)
(393.75 253.125), (403.125 262.5)
(384.375 262.5), (393.75 271.875)
(384.375 271.875), (393.75 281.25)
(393.75 281.25), (412.5 300)
(412.5 262.5), (450 300)
