(581.25 150), (590.625 159.375)
(562.5 131.25), (581.25 150)
(581.25 140.625), (590.625 150)
(562.5 150), (581.25 168.75)
(590.625 150), (600 159.375)
(581.25 159.375), (590.625 168.75)
(590.625 159.375), (600 168.75)
