(37.5 150), (75 187.5)
(18.75 131.25), (37.5 150)
(37.5 112.5), (75 150)
(18.75 150), (37.5 168.75)
(18.75 168.75), (37.5 187.5)
(37.5 187.5), (75 225)
(75 150), (150 225)
