(525 262.5), (562.5 300)
(450 225), (525 300)
(525 225), (562.5 262.5)
(562.5 262.5), (581.25 281.25)
(562.5 281.25), (581.25 300)
(525 300), (562.5 337.5)
(562.5 300), (581.25 318.75)
