(206.25 112.5), (225 131.25)
(187.5 75), (225 112.5)
(187.5 112.5), (206.25 131.25)
(215.625 131.25), (225 140.625)
(225 112.5), (243.75 131.25)
(225 131.25), (234.375 140.625)
