(112.5 506.25), (131.25 525)
(75 487.5), (112.5 525)
(112.5 487.5), (131.25 506.25)
(131.25 506.25), (140.625 515.625)
(131.25 515.625), (140.625 525)
(112.5 525), (131.25 543.75)
(131.25 525), (140.625 534.375)
