(150 75), (187.5 112.5)
(131.25 56.25), (150 75)
(131.25 75), (150 93.75)
(131.25 93.75), (150 112.5)
(150 37.5), (187.5 75)
(187.5 75), (225 112.5)
(168.75 112.5), (187.5 131.25)
(187.5 112.5), (206.25 131.25)
