(150 112.5), (168.75 131.25)
(131.25 93.75), (150 112.5)
(131.25 112.5), (150 131.25)
(150 75), (187.5 112.5)
(168.75 112.5), (187.5 131.25)
(159.375 131.25), (168.75 140.625)
(168.75 131.25), (178.125 140.625)
