(365.625 534.375), (375 543.75)
(356.25 525), (365.625 534.375)
(365.625 525), (375 534.375)
(356.25 534.375), (365.625 543.75)
(365.625 543.75), (375 553.125)
(375 525), (412.5 562.5)
