(75 262.5), (112.5 300)
(37.5 225), (75 262.5)
(37.5 262.5), (75 300)
(75 225), (112.5 262.5)
(112.5 262.5), (131.25 281.25)
(112.5 281.25), (131.25 300)
(75 300), (112.5 337.5)
(112.5 300), (131.25 318.75)
