(506.25 562.5), (525 581.25)
(487.5 525), (525 562.5)
(487.5 562.5), (506.25 581.25)
(515.625 581.25), (525 590.625)
(525 562.5), (543.75 581.25)
(525 581.25), (534.375 590.625)
