(159.375 375), (168.75 384.375)
(150 365.625), (159.375 375)
(159.375 365.625), (168.75 375)
(150 375), (159.375 384.375)
(159.375 384.375), (168.75 393.75)
(168.75 375), (187.5 393.75)
