(450 18.75), (468.75 37.5)
(440.625 9.375), (450 18.75)
(431.25 18.75), (450 37.5)
(450 9.375), (459.375 18.75)
(468.75 18.75), (487.5 37.5)
(450 37.5), (487.5 75)
