(300 337.5), (337.5 375)
(281.25 318.75), (300 337.5)
(262.5 337.5), (300 375)
(300 318.75), (318.75 337.5)
(337.5 337.5), (375 375)
(300 375), (337.5 412.5)
(337.5 375), (375 412.5)
