(525 300), (562.5 337.5)
(450 225), (525 300)
(525 262.5), (562.5 300)
(450 300), (525 375)
(562.5 300), (581.25 318.75)
(562.5 318.75), (581.25 337.5)
(525 337.5), (562.5 375)
(562.5 337.5), (581.25 356.25)
