(168.75 9.375), (178.125 18.75)
(159.375 0), (168.75 9.375)
(159.375 9.375), (168.75 18.75)
(168.75 0), (178.125 9.375)
(178.125 9.375), (187.5 18.75)
(168.75 18.75), (187.5 37.5)
