(375 375), (450 450)
(337.5 337.5), (375 375)
(375 337.5), (412.5 375)
(337.5 375), (375 412.5)
(365.625 412.5), (375 421.875)
(365.625 421.875), (375 431.25)
(365.625 431.25), (375 440.625)
(365.625 440.625), (375 450)
(450 375), (487.5 412.5)
(450 412.5), (459.375 421.875)
(450 421.875), (459.375 431.25)
(450 431.25), (459.375 440.625)
(450 440.625), (459.375 450)
(375 450), (450 525)
(450 450), (459.375 459.375)
