(525 375), (562.5 412.5)
(450 300), (525 375)
(525 337.5), (562.5 375)
(487.5 375), (525 412.5)
(562.5 375), (581.25 393.75)
(562.5 393.75), (581.25 412.5)
(553.125 412.5), (562.5 421.875)
(562.5 412.5), (571.875 421.875)
