(562.5 56.25), (581.25 75)
(525 37.5), (562.5 75)
(562.5 37.5), (581.25 56.25)
(581.25 56.25), (590.625 65.625)
(581.25 65.625), (590.625 75)
(562.5 75), (581.25 93.75)
(581.25 75), (590.625 84.375)
