(56.25 562.5), (75 581.25)
(37.5 525), (75 562.5)
(37.5 562.5), (56.25 581.25)
(65.625 581.25), (75 590.625)
(75 562.5), (93.75 581.25)
(75 581.25), (84.375 590.625)
