(131.25 450), (140.625 459.375)
(112.5 431.25), (131.25 450)
(131.25 440.625), (140.625 450)
(112.5 450), (131.25 468.75)
(140.625 450), (150 459.375)
(131.25 459.375), (140.625 468.75)
(140.625 459.375), (150 468.75)
