(525 487.5), (562.5 525)
(506.25 468.75), (525 487.5)
(487.5 487.5), (525 525)
(525 468.75), (543.75 487.5)
(562.5 487.5), (581.25 506.25)
(562.5 506.25), (581.25 525)
(525 525), (562.5 562.5)
(562.5 525), (581.25 543.75)
