(403.125 112.5), (412.5 121.875)
(393.75 103.125), (403.125 112.5)
(403.125 103.125), (412.5 112.5)
(393.75 112.5), (403.125 121.875)
(403.125 121.875), (412.5 131.25)
(412.5 112.5), (450 150)
