(206.25 18.75), (225 37.5)
(196.875 9.375), (206.25 18.75)
(206.25 9.375), (215.625 18.75)
(187.5 18.75), (206.25 37.5)
(187.5 37.5), (225 75)
(225 18.75), (243.75 37.5)
(225 37.5), (262.5 75)
