(150 9.375), (159.375 18.75)
(140.625 0), (150 9.375)
(140.625 9.375), (150 18.75)
(150 0), (159.375 9.375)
(159.375 9.375), (168.75 18.75)
(150 18.75), (168.75 37.5)
