(290.625 234.375), (300 243.75)
(281.25 225), (290.625 234.375)
(290.625 225), (300 234.375)
(281.25 234.375), (290.625 243.75)
(281.25 243.75), (300 262.5)
(300 234.375), (309.375 243.75)
(300 243.75), (318.75 262.5)
