(384.375 140.625), (393.75 150)
(375 131.25), (384.375 140.625)
(384.375 131.25), (393.75 140.625)
(375 140.625), (384.375 150)
(393.75 140.625), (403.125 150)
(384.375 150), (393.75 159.375)
(393.75 150), (403.125 159.375)
