(375 46.875), (384.375 56.25)
(337.5 37.5), (375 75)
(375 37.5), (384.375 46.875)
(384.375 46.875), (393.75 56.25)
(375 56.25), (384.375 65.625)
(384.375 56.25), (393.75 65.625)
