(346.875 234.375), (356.25 243.75)
(337.5 225), (346.875 234.375)
(346.875 225), (356.25 234.375)
(337.5 234.375), (346.875 243.75)
(356.25 234.375), (365.625 243.75)
(337.5 243.75), (356.25 262.5)
(356.25 243.75), (375 262.5)
