(46.875 581.25), (56.25 590.625)
(37.5 562.5), (56.25 581.25)
(37.5 581.25), (46.875 590.625)
(46.875 590.625), (56.25 600)
(56.25 581.25), (65.625 590.625)
(56.25 590.625), (65.625 600)
