(131.25 262.5), (150 281.25)
(112.5 225), (150 262.5)
(112.5 262.5), (131.25 281.25)
(140.625 281.25), (150 290.625)
(150 262.5), (168.75 281.25)
(150 281.25), (159.375 290.625)
