(159.375 553.125), (168.75 562.5)
(150 543.75), (159.375 553.125)
(159.375 543.75), (168.75 553.125)
(150 553.125), (159.375 562.5)
(168.75 543.75), (187.5 562.5)
(159.375 562.5), (168.75 571.875)
(168.75 562.5), (187.5 581.25)
