(112.5 300), (131.25 318.75)
(75 262.5), (112.5 300)
(112.5 281.25), (131.25 300)
(75 300), (112.5 337.5)
(131.25 300), (140.625 309.375)
(131.25 309.375), (140.625 318.75)
(112.5 318.75), (131.25 337.5)
(131.25 318.75), (140.625 328.125)
