(375 56.25), (384.375 65.625)
(337.5 37.5), (375 75)
(375 46.875), (384.375 56.25)
(384.375 56.25), (393.75 65.625)
(375 65.625), (384.375 75)
(384.375 65.625), (393.75 75)
