(581.25 440.625), (590.625 450)
(562.5 431.25), (581.25 450)
(581.25 431.25), (590.625 440.625)
(590.625 440.625), (600 450)
(581.25 450), (590.625 459.375)
(590.625 450), (600 459.375)
