(159.375 450), (168.75 459.375)
(150 440.625), (159.375 450)
(159.375 440.625), (168.75 450)
(150 450), (159.375 459.375)
(159.375 459.375), (168.75 468.75)
(168.75 450), (187.5 468.75)
