(18.75 356.25), (37.5 375)
(9.375 346.875), (18.75 356.25)
(18.75 337.5), (37.5 356.25)
(9.375 356.25), (18.75 365.625)
(9.375 365.625), (18.75 375)
(37.5 337.5), (75 375)
(18.75 375), (37.5 393.75)
(37.5 375), (75 412.5)
