(271.875 225), (281.25 234.375)
(225 150), (300 225)
(262.5 225), (271.875 234.375)
(271.875 234.375), (281.25 243.75)
(281.25 225), (290.625 234.375)
(281.25 234.375), (290.625 243.75)
