(506.25 431.25), (525 450)
(496.875 421.875), (506.25 431.25)
(506.25 421.875), (515.625 431.25)
(487.5 431.25), (506.25 450)
(525 431.25), (543.75 450)
(515.625 450), (525 459.375)
(525 450), (534.375 459.375)
