(75 375), (112.5 412.5)
(37.5 337.5), (75 375)
(75 337.5), (112.5 375)
(37.5 375), (75 412.5)
(112.5 375), (131.25 393.75)
(112.5 393.75), (131.25 412.5)
(75 412.5), (112.5 450)
(112.5 412.5), (131.25 431.25)
