(150 225), (187.5 262.5)
(75 150), (150 225)
(112.5 225), (150 262.5)
(150 150), (225 225)
(187.5 225), (225 262.5)
(168.75 262.5), (187.5 281.25)
(187.5 262.5), (225 300)
