(28.125 581.25), (37.5 590.625)
(18.75 562.5), (37.5 581.25)
(18.75 581.25), (28.125 590.625)
(28.125 590.625), (37.5 600)
(37.5 581.25), (46.875 590.625)
(37.5 590.625), (46.875 600)
