(131.25 440.625), (140.625 450)
(112.5 431.25), (131.25 450)
(131.25 431.25), (140.625 440.625)
(140.625 440.625), (150 450)
(131.25 450), (140.625 459.375)
(140.625 450), (150 459.375)
