Depth,Map,Width,Height,PointA,PointB,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Distance,NodesVisited
4,B,400,400,(26.6667 26.6667),(373.333 373.333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33.3333 33.3333),(466.667 33.3333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33.3333 466.667),(466.667 33.3333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33.3333 466.667),(466.667 466.667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33.3333 33.3333),(466.667 466.667),0.000997,0,0,0,0,0,0,0,0,0,9.97e-005,0,-1
4,B,600,600,(40 40),(560 40),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,600,600,(40 560),(560 40),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,600,600,(40 560),(560 560),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,600,600,(40 40),(560 560),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1000,1000,(66.6667 66.6667),(933.333 66.6667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1000,1000,(66.6667 933.333),(933.333 66.6667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1000,1000,(66.6667 933.333),(933.333 933.333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1000,1000,(66.6667 66.6667),(933.333 933.333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1500,1500,(100 100),(1400 100),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1500,1500,(100 1400),(1400 100),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1500,1500,(100 1400),(1400 1400),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1500,1500,(100 100),(1400 1400),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,3000,3000,(200 200),(2800 200),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,3000,3000,(200 2800),(2800 200),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,3000,3000,(200 2800),(2800 2800),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,3000,3000,(200 200),(2800 2800),0,0,0,0,0,0,0,0,0,0,0,0,-1
5,A,100,100,(6.66667 6.66667),(93.3333 6.66667),0.00203,0.000992,0.002002,0.000957,0.001051,0.00098,0.000995,0.000998,0.000995,0.001003,0.0012003,303.917,202
5,A,100,100,(6.66667 93.3333),(93.3333 6.66667),0.000996,0.000996,0.001995,0.000998,0.000999,0.000996,0.001994,0.000998,0.001994,0.001995,0.0013961,396.188,228
5,A,100,100,(6.66667 93.3333),(93.3333 93.3333),0.000997,0.000997,0.001995,0.000997,0.000998,0.000997,0.000997,0.000997,0.000997,0.000997,0.0010969,317.603,234
5,A,100,100,(6.66667 6.66667),(93.3333 93.3333),0.001,0.000994,0,0.000998,0.000997,0.000997,0.000999,0.000999,0.000997,0.002002,0.0009983,364.658,195
5,A,200,200,(13.3333 13.3333),(186.667 13.3333),0.000997,0.000997,0.000997,0.000998,0.000997,0.000998,0.000997,0.000997,0.000997,0.000997,0.0009972,607.834,206
5,A,200,200,(13.3333 186.667),(186.667 13.3333),0.00199,0.000997,0.000997,0.000998,0.001995,0.000998,0.000997,0.000997,0.001995,0.000997,0.0012961,792.376,224
5,A,200,200,(13.3333 186.667),(186.667 186.667),0.001995,0.000998,0.000996,0.000997,0.001995,0.000998,0.000997,0.000997,0.001995,0.000997,0.0012965,635.206,238
5,A,200,200,(13.3333 13.3333),(186.667 186.667),0.000997,0.000997,0.001009,0,0.001994,0.000997,0.000996,0,0.000997,0.000998,0.0008985,729.315,191
5,A,400,400,(26.6667 26.6667),(373.333 26.6667),0.001958,0,0.00103,0.000998,0.000962,0.001027,0.000993,0.001013,0.000991,0.000948,0.000992,1215.67,206
5,A,400,400,(26.6667 373.333),(373.333 26.6667),0.001026,0.002001,0.000997,0.000991,0.001,0.001001,0.001994,0.000998,0.001002,0.000991,0.0012001,1584.75,224
5,A,400,400,(26.6667 373.333),(373.333 373.333),0.001,0.001991,0.001997,0.000995,0.002994,0.001992,0.001995,0.000998,0.001994,0.001,0.0016956,1270.41,238
5,A,400,400,(26.6667 26.6667),(373.333 373.333),0.000997,0.001994,0.000998,0.002,0.000993,0.000996,0.000998,0.001993,0.000997,0.000998,0.0012964,1458.63,191
5,A,500,500,(33.3333 33.3333),(466.667 33.3333),0.000964,0.000997,0.000998,0.000997,0.000998,0.001001,0.000994,0.000998,0.000997,0.000998,0.0009942,1519.58,206
5,A,500,500,(33.3333 466.667),(466.667 33.3333),0.000998,0.000996,0.001995,0.000997,0.000998,0.000997,0.000997,0.001995,0.000997,0.001031,0.0012001,1980.94,223
5,A,500,500,(33.3333 466.667),(466.667 466.667),0.000993,0.000998,0.001996,0.000997,0.000996,0.000998,0.000998,0.001995,0.000993,0.001004,0.0011968,1588.01,238
5,A,500,500,(33.3333 33.3333),(466.667 466.667),0.001028,0.000965,0.001035,0,0.000992,0.001001,0.000998,0.001003,0.000992,0.000994,0.0009008,1823.29,191
5,A,600,600,(40 40),(560 40),0.000994,0.001031,0.000962,0.000997,0.000997,0.000998,0.000997,0.000998,0.000997,0.000997,0.0009968,1823.5,206
5,A,600,600,(40 560),(560 40),0.001995,0.000998,0.000996,0.000998,0.001994,0.000998,0.000997,0.000997,0.000998,0.001994,0.0012965,2377.13,223
5,A,600,600,(40 560),(560 560),0.000998,0.000997,0.000997,0.001995,0.000997,0.000998,0.000997,0.001995,0.000998,0.000996,0.0011968,1905.62,238
5,A,600,600,(40 40),(560 560),0.000997,0.000997,0,0.000998,0.000997,0.000997,0.000998,0.000997,0.001,0.000995,0.0008976,2187.95,191
5,A,1000,1000,(66.6667 66.6667),(933.333 66.6667),0.001001,0.000964,0.001036,0.00099,0.001001,0.000992,0.001003,0.000996,0.000997,0.000998,0.0009978,3039.17,206
5,A,1000,1000,(66.6667 933.333),(933.333 66.6667),0.002034,0.000993,0.000998,0.000994,0.000998,0.001998,0.001,0.000959,0.000996,0.001995,0.0012965,3961.88,223
5,A,1000,1000,(66.6667 933.333),(933.333 933.333),0.001038,0.001986,0.000997,0.000999,0.000997,0.000998,0.00196,0.001035,0.000995,0.000996,0.0012001,3176.03,238
5,A,1000,1000,(66.6667 66.6667),(933.333 933.333),0.001993,0.000998,0.000997,0.000997,0.000998,0.000997,0.000997,0.001995,0.000997,0.000998,0.0011967,3646.58,191
5,A,1500,1500,(100 100),(1400 100),0.000994,0.00206,0.000978,0.000999,0.001994,0.000997,0.000997,0.001034,0.001958,0.001,0.0013011,4558.75,207
5,A,1500,1500,(100 1400),(1400 100),0.001993,0.002015,0.001974,0.001994,0.001995,0.001994,0.001996,0.001995,0.000997,0.001996,0.0018949,5942.82,223
5,A,1500,1500,(100 1400),(1400 1400),0.001994,0.001029,0.000966,0.00103,0.001961,0.000998,0.000997,0.000998,0.003534,0.001941,0.0015448,4764.04,238
5,A,1500,1500,(100 100),(1400 1400),0.000997,0.000998,0.000997,0,0.000997,0.000998,0.000997,0.000998,0.000997,0.000997,0.0008976,5469.86,191
5,A,3000,3000,(200 200),(2800 200),0.000997,0.001,0.000954,0.000996,0.001001,0.000994,0.000998,0.001042,0.000997,0.000998,0.0009977,9117.51,205
5,A,3000,3000,(200 2800),(2800 200),0.001998,0.001006,0.001029,0.000959,0.001039,0.001003,0,0.000994,0.001,0.001948,0.0010976,11885.6,222
5,A,3000,3000,(200 2800),(2800 2800),0.00102,0.001,0.001001,0.000994,0.000951,0.001045,0.000995,0.001,0.000998,0.001948,0.0010952,9528.08,238
5,A,3000,3000,(200 200),(2800 2800),0.000959,0.000997,0,0.000997,0.000998,0,0.000997,0.000997,0.000997,0,0.0006942,10939.7,191
5,B,100,100,(6.66667 6.66667),(93.3333 6.66667),0.002027,0.000999,0.001004,0.001994,0.001002,0.001991,0.000957,0.002035,0.000999,0.001,0.0014008,326.63,244
5,B,100,100,(6.66667 93.3333),(93.3333 6.66667),0.001018,0.002001,0.000999,0.000997,0.001988,0.001003,0.001,0.000989,0.001987,0.001009,0.0012991,421.209,255
5,B,100,100,(6.66667 93.3333),(93.3333 93.3333),0.000995,0.001007,0.000992,0.001001,0.000994,0.000998,0.001002,0.001995,0.000992,0.000999,0.0010975,321.206,240
5,B,100,100,(6.66667 6.66667),(93.3333 93.3333),0.000956,0.001049,0.000992,0.000998,0.00198,0.001013,0,0.001946,0.000997,0.001046,0.0010977,365.558,250
5,B,200,200,(13.3333 13.3333),(186.667 13.3333),0.001999,0.001992,0.001994,0.000996,0.001996,0.001996,0.002993,0.000994,0.001997,0.001995,0.0018952,678.83,291
5,B,200,200,(13.3333 186.667),(186.667 13.3333),0.002009,0.001997,0.001946,0.002002,0.001037,0.001991,0.001999,0.001996,0.00095,0.002042,0.0017969,859.652,276
5,B,200,200,(13.3333 186.667),(186.667 186.667),0.001041,0.000963,0.00203,0.000996,0.001001,0.000999,0.001989,0.000997,0.001003,0.00199,0.0013009,648.749,262
5,B,200,200,(13.3333 13.3333),(186.667 186.667),0.001981,0.001035,0.000959,0.002035,0.001001,0.000999,0.000993,0.001998,0.001,0.000993,0.0012994,746.578,299
5,B,400,400,(26.6667 26.6667),(373.333 26.6667),0.001993,0.002001,0.001948,0.001046,0.001995,0.001992,0.001,0.001995,0.001955,0.002036,0.0017961,1357.66,295
5,B,400,400,(26.6667 373.333),(373.333 26.6667),0.002037,0.001994,0.002002,0.000993,0.001995,0.001992,0.001957,0.002984,0.002043,0.000995,0.0018992,1719.3,280
5,B,400,400,(26.6667 373.333),(373.333 373.333),0.001047,0.000995,0.001995,0.000997,0.000995,0.000972,0.002025,0.00099,0.001996,0.001,0.0013012,1297.5,280
5,B,400,400,(26.6667 26.6667),(373.333 373.333),0.001041,0.001001,0.001993,0.000997,0.001994,0.000998,0.000999,0.000999,0.001992,0.001986,0.0014,1493.16,301
