Depth,Map,Width,Height,PointA,PointB,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Distance,NodesVisited
4,A,3000,3000,(200 2800),(2800 2800),0.001994,0.001995,0.000997,0.001995,0.001994,0.000998,0.001995,0.000997,0.001995,0.000996,0.0015956,9331.55,59
4,A,3000,3000,(200 200),(2800 2800),0.001995,0.001994,0.001997,0.000995,0.001995,0.000997,0.001995,0.000997,0.000998,0.001994,0.0015957,10812,62
4,B,100,100,(6.66667 6.66667),(93.3333 6.66667),0.000999,0.000995,0.001995,0.000997,0.001994,0.000998,0.000997,0.001995,0.000997,0.001995,0.0013962,-1,-1
4,B,100,100,(6.66667 93.3333),(93.3333 6.66667),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,100,100,(6.66667 93.3333),(93.3333 93.3333),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,100,100,(6.66667 6.66667),(93.3333 93.3333),0.000997,0.001996,0.000997,0.000997,0.001994,0.000998,0.000997,0.001995,0.000997,0.001995,0.0013963,-1,-1
4,B,200,200,(13.3333 13.3333),(186.667 13.3333),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,200,200,(13.3333 186.667),(186.667 13.3333),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,200,200,(13.3333 186.667),(186.667 186.667),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,200,200,(13.3333 13.3333),(186.667 186.667),0,0,0,0.000996,0,0,0,0,0,0,9.96e-005,-1,-1
4,B,400,400,(26.6667 26.6667),(373.333 26.6667),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,400,400,(26.6667 373.333),(373.333 26.6667),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,400,400,(26.6667 373.333),(373.333 373.333),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,400,400,(26.6667 26.6667),(373.333 373.333),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,500,500,(33.3333 33.3333),(466.667 33.3333),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,500,500,(33.3333 466.667),(466.667 33.3333),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,500,500,(33.3333 466.667),(466.667 466.667),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,500,500,(33.3333 33.3333),(466.667 466.667),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,600,600,(40 40),(560 40),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,600,600,(40 560),(560 40),0,0.000997,0,0,0,0,0,0,0,0,9.97e-005,-1,-1
4,B,600,600,(40 560),(560 560),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,600,600,(40 40),(560 560),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,1000,1000,(66.6667 66.6667),(933.333 66.6667),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,1000,1000,(66.6667 933.333),(933.333 66.6667),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,1000,1000,(66.6667 933.333),(933.333 933.333),0,0,0.000997,0,0,0,0,0,0,0,9.97e-005,-1,-1
4,B,1000,1000,(66.6667 66.6667),(933.333 933.333),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,1500,1500,(100 100),(1400 100),0,0,0,0,0,0,0,0,0.000998,0,9.98e-005,-1,-1
4,B,1500,1500,(100 1400),(1400 100),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,1500,1500,(100 1400),(1400 1400),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,1500,1500,(100 100),(1400 1400),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,3000,3000,(200 200),(2800 200),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,3000,3000,(200 2800),(2800 200),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,3000,3000,(200 2800),(2800 2800),0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,B,3000,3000,(200 200),(2800 2800),0,0,0,0,0,0,0,0,0,0.000997,9.97e-005,-1,-1
5,A,100,100,(6.66667 6.66667),(93.3333 6.66667),0.00598,0.003989,0.003989,0.00399,0.004987,0.003989,0.003989,0.005987,0.004984,0.004986,0.004687,300.761,130
5,A,100,100,(6.66667 93.3333),(93.3333 6.66667),0.005985,0.004986,0.005984,0.005984,0.005984,0.007016,0.005974,0.005985,0.008991,0.00698,0.0063869,391.831,169
5,A,100,100,(6.66667 93.3333),(93.3333 93.3333),0.003992,0.003984,0.004981,0.003996,0.003989,0.004949,0.003989,0.004991,0.005022,0.004983,0.0044876,310.122,136
5,A,100,100,(6.66667 6.66667),(93.3333 93.3333),0.003012,0.002972,0.001994,0.004022,0.001996,0.002992,0.001994,0.002993,0.001995,0.002993,0.0026963,359.283,125
5,A,200,200,(13.3333 13.3333),(186.667 13.3333),0.003987,0.003985,0.004965,0.005017,0.004971,0.003994,0.003999,0.003987,0.004981,0.003993,0.0043879,601.521,132
5,A,200,200,(13.3333 186.667),(186.667 13.3333),0.004987,0.006981,0.005988,0.005986,0.005983,0.004982,0.005985,0.004989,0.005989,0.005939,0.0057809,783.662,171
5,A,200,200,(13.3333 186.667),(186.667 186.667),0.00498,0.003995,0.003992,0.003987,0.003988,0.003991,0.003995,0.004936,0.004029,0.003984,0.0041877,620.244,136
5,A,200,200,(13.3333 13.3333),(186.667 186.667),0.003005,0.001995,0.003942,0.002024,0.002998,0.001991,0.002992,0.002998,0.001995,0.002992,0.0026932,718.565,125
5,A,400,400,(26.6667 26.6667),(373.333 26.6667),0.00498,0.003989,0.003996,0.003988,0.004943,0.005021,0.003996,0.003992,0.003988,0.004946,0.0043839,1203.04,132
5,A,400,400,(26.6667 373.333),(373.333 26.6667),0.004989,0.005982,0.00499,0.00594,0.006026,0.00499,0.005977,0.004989,0.005988,0.005984,0.0055855,1567.32,171
5,A,400,400,(26.6667 373.333),(373.333 373.333),0.00399,0.003993,0.003991,0.004981,0.00399,0.003994,0.004985,0.003963,0.004993,0.005013,0.0043893,1240.49,136
5,A,400,400,(26.6667 26.6667),(373.333 373.333),0.002024,0.002999,0.002989,0.001997,0.002956,0.00399,0.003989,0.003034,0.002948,0.003032,0.0029958,1437.13,125
5,A,500,500,(33.3333 33.3333),(466.667 33.3333),0.00399,0.004986,0.00399,0.003989,0.004987,0.003989,0.00399,0.005983,0.005024,0.004949,0.0045877,1503.8,136
5,A,500,500,(33.3333 466.667),(466.667 33.3333),0.006036,0.005959,0.006988,0.006974,0.00599,0.006987,0.009971,0.009939,0.006012,0.005985,0.0070841,1959.16,171
5,A,500,500,(33.3333 466.667),(466.667 466.667),0.004,0.002995,0.003998,0.004939,0.004034,0.003985,0.003975,0.005001,0.00299,0.003989,0.0039906,1550.61,136
5,A,500,500,(33.3333 33.3333),(466.667 466.667),0.002991,0.00399,0.004003,0.004973,0.00399,0.003993,0.005009,0.00496,0.002991,0.003034,0.0039934,1796.41,125
5,A,600,600,(40 40),(560 40),0.004987,0.004998,0.004975,0.004988,0.004985,0.004986,0.004988,0.004987,0.004986,0.004987,0.0049867,1804.56,132
5,A,600,600,(40 560),(560 40),0.005977,0.005996,0.004945,0.005027,0.006989,0.004986,0.005985,0.005967,0.005988,0.00599,0.005785,2350.99,171
5,A,600,600,(40 560),(560 560),0.004998,0.00399,0.003959,0.004025,0.003986,0.003995,0.003987,0.003984,0.004986,0.003994,0.0041904,1860.73,136
5,A,600,600,(40 40),(560 560),0.003989,0.001997,0.002995,0.002993,0.00199,0.002989,0.001995,0.002993,0.001996,0.002989,0.0026926,2155.7,125
5,A,1000,1000,(66.6667 66.6667),(933.333 66.6667),0.004989,0.003991,0.004976,0.003999,0.003994,0.004983,0.003985,0.003992,0.005982,0.003991,0.0044882,3007.61,136
5,A,1000,1000,(66.6667 933.333),(933.333 66.6667),0.006023,0.00698,0.004994,0.005982,0.005978,0.004994,0.006968,0.005985,0.005952,0.005984,0.005984,3918.31,171
5,A,1000,1000,(66.6667 933.333),(933.333 933.333),0.004008,0.003996,0.003985,0.003988,0.004987,0.00399,0.003988,0.002995,0.003987,0.003987,0.0039911,3101.22,136
5,A,1000,1000,(66.6667 66.6667),(933.333 933.333),0.002984,0.001992,0.002995,0.001995,0.002993,0.002993,0.001987,0.002993,0.002987,0.002982,0.0026901,3592.83,125
5,A,1500,1500,(100 100),(1400 100),0.003989,0.003985,0.003962,0.005015,0.003992,0.003985,0.004981,0.003988,0.004002,0.003989,0.0041888,4511.41,132
