(543.75 450), (553.125 459.375)
(525 431.25), (543.75 450)
(543.75 431.25), (562.5 450)
(534.375 450), (543.75 459.375)
(553.125 450), (562.5 459.375)
(543.75 459.375), (553.125 468.75)
(553.125 459.375), (562.5 468.75)
