(337.5 337.5), (375 375)
(318.75 318.75), (337.5 337.5)
(337.5 318.75), (356.25 337.5)
(300 337.5), (337.5 375)
(375 337.5), (412.5 375)
(337.5 375), (375 412.5)
(375 375), (450 450)
