(487.5 459.375), (496.875 468.75)
(478.125 450), (487.5 459.375)
(478.125 459.375), (487.5 468.75)
(487.5 450), (496.875 459.375)
(496.875 459.375), (506.25 468.75)
(487.5 468.75), (506.25 487.5)
