(393.75 140.625), (403.125 150)
(384.375 131.25), (393.75 140.625)
(384.375 140.625), (393.75 150)
(393.75 131.25), (403.125 140.625)
(403.125 140.625), (412.5 150)
(393.75 150), (403.125 159.375)
(403.125 150), (412.5 159.375)
