(150 553.125), (159.375 562.5)
(140.625 543.75), (150 553.125)
(140.625 553.125), (150 562.5)
(150 543.75), (159.375 553.125)
(159.375 553.125), (168.75 562.5)
(150 562.5), (159.375 571.875)
(159.375 562.5), (168.75 571.875)
