(562.5 150), (581.25 168.75)
(525 112.5), (562.5 150)
(562.5 131.25), (581.25 150)
(525 150), (562.5 187.5)
(581.25 150), (590.625 159.375)
(581.25 159.375), (590.625 168.75)
(562.5 168.75), (581.25 187.5)
(581.25 168.75), (590.625 178.125)
