(300 412.5), (337.5 450)
(225 375), (300 450)
(300 375), (337.5 412.5)
(337.5 412.5), (346.875 421.875)
(337.5 421.875), (346.875 431.25)
(337.5 431.25), (356.25 450)
(300 450), (337.5 487.5)
(337.5 450), (356.25 468.75)
