(225 112.5), (243.75 131.25)
(187.5 75), (225 112.5)
(206.25 112.5), (225 131.25)
(225 75), (262.5 112.5)
(243.75 112.5), (262.5 131.25)
(234.375 131.25), (243.75 140.625)
(243.75 131.25), (253.125 140.625)
