(300 581.25), (309.375 590.625)
(281.25 562.5), (300 581.25)
(290.625 581.25), (300 590.625)
(300 562.5), (318.75 581.25)
(309.375 581.25), (318.75 590.625)
(300 590.625), (309.375 600)
(309.375 590.625), (318.75 600)
